NumOfEventsInJourney,NumSessions,interactionTime,maxPrice,minPrice,NumCart,NumView,InsessionCart,InsessionView,year,month,weekday,timeOfDay,Weekend,Purchase
1,1,0,1641.78,1641.78,0,1,0,1,2019,11,4,6,0,0
1,1,0,32.69,32.69,0,1,0,1,2019,11,1,5,0,0
1,1,0,774.02,774.02,0,1,0,1,2019,11,6,5,0,0
1,1,0,1132.07,1132.07,0,1,0,1,2019,11,2,2,0,0
1,1,0,314.01,314.01,0,1,0,1,2019,11,3,2,0,0
1,1,0,97.79,97.79,0,1,0,1,2019,11,6,3,0,0
1,1,0,257.41,257.41,0,1,0,1,2019,11,6,1,0,0
1,1,0,633.46,633.46,0,1,0,1,2019,11,6,3,0,0
1,1,0,97.79,97.79,0,1,0,1,2019,11,1,5,0,0
1,1,0,22.76,22.76,0,1,0,1,2019,11,6,2,0,0
1,1,0,720.57,720.57,0,1,0,2,2019,11,2,5,0,0
1,1,0,731.77,731.77,0,1,0,1,2019,11,1,1,0,0
1,1,0,31.92,31.92,0,1,0,1,2019,11,2,3,0,0
1,1,0,88.68,88.68,0,1,0,2,2019,11,6,7,0,0
1,1,0,77.17,77.17,0,1,0,1,2019,11,5,3,0,0
1,1,0,144.66,144.66,0,1,0,1,2019,11,3,2,0,0
1,1,0,193.97,193.97,0,1,0,1,2019,11,4,5,0,0
1,1,0,180.16,180.16,0,1,0,1,2019,11,5,2,0,0
2,2,763416,437.57,437.31,0,2,0,1,2019,11,2,1,0,0
1,1,0,51.46,51.46,0,1,0,1,2019,11,6,4,0,0
1,1,0,66.67,66.67,0,1,0,1,2019,11,7,2,0,0
1,1,0,844.29,844.29,0,1,0,1,2019,11,2,1,0,0
1,1,0,746.04,746.04,0,1,0,2,2019,11,6,6,0,0
1,1,0,489.05,489.05,0,1,0,1,2019,11,7,5,0,0
1,1,0,196.92,196.92,0,1,0,1,2019,11,3,2,0,0
1,1,0,265.39,265.39,0,1,0,1,2019,11,7,2,0,0
1,1,0,136.4,136.4,0,1,0,1,2019,11,3,5,0,0
1,1,0,915.08,915.08,0,1,0,1,2019,11,5,1,0,0
1,1,0,265,265,0,1,0,1,2019,11,6,7,0,0
2,2,260671,823.44,823.44,0,2,0,1,2019,11,1,4,0,0
1,1,0,465.68,465.68,0,1,0,1,2019,11,7,6,0,0
1,1,0,110.66,110.66,0,1,0,1,2019,11,7,2,0,0
1,1,0,46.31,46.31,0,1,0,1,2019,11,2,3,0,0
1,1,0,161.11,161.11,0,1,0,1,2019,11,6,4,0,0
1,1,0,916.37,916.37,0,1,0,1,2019,11,7,1,0,0
1,1,0,1364,1364,0,1,0,1,2019,11,4,3,0,0
1,1,0,545.14,545.14,0,1,0,1,2019,11,5,6,0,0
1,1,0,900.64,900.64,0,1,0,1,2019,11,3,6,0,0
1,1,0,25.42,25.42,0,1,0,1,2019,11,5,2,0,0
1,1,0,153.93,153.93,0,1,0,1,2019,11,6,3,0,0
1,1,0,495.91,495.91,0,1,0,1,2019,11,1,2,0,0
1,1,0,139.68,139.68,0,1,0,1,2019,11,5,2,0,0
1,1,0,44.17,44.17,0,1,0,1,2019,11,5,1,0,0
1,1,0,33.95,33.95,0,1,0,1,2019,11,5,2,0,0
1,1,0,510.18,510.18,0,1,0,1,2019,11,5,3,0,0
1,1,0,223.43,223.43,0,1,0,1,2019,11,2,3,0,0
1,1,0,107.57,107.57,0,1,0,1,2019,11,6,2,0,0
1,1,0,74.62,74.62,0,0,0,0,2019,11,6,5,0,1
1,1,0,212.21,212.21,0,1,0,1,2019,11,6,5,0,0
1,1,0,154.18,154.18,0,1,0,1,2019,11,5,5,0,0
1,1,0,77.2,77.2,0,1,0,1,2019,11,6,5,0,0
1,1,0,306.05,306.05,0,1,0,1,2019,11,2,7,0,0
1,1,0,1438.13,1438.13,0,1,0,1,2019,11,6,3,0,0
1,1,0,4.61,4.61,0,1,0,1,2019,11,2,3,0,0
1,1,0,497.76,497.76,0,1,0,1,2019,11,3,3,0,0
1,1,0,7.7,7.7,0,1,0,1,2019,11,7,5,0,0
1,1,0,199.66,199.66,0,1,0,1,2019,11,4,3,0,0
1,1,0,114.29,114.29,0,1,0,1,2019,11,2,1,0,0
1,1,0,56.63,56.63,0,1,0,1,2019,11,6,7,0,0
1,1,0,168.7,168.7,0,1,0,1,2019,11,5,3,0,0
1,1,0,96.53,96.53,0,1,0,2,2019,11,4,3,0,0
1,1,0,391.52,391.52,0,1,0,1,2019,11,1,5,0,0
1,1,0,64.01,64.01,0,1,0,1,2019,11,6,5,0,0
1,1,0,191.25,191.25,0,1,0,1,2019,11,7,6,0,0
1,1,0,411.57,411.57,0,0,0,0,2019,11,2,2,0,1
1,1,0,29.58,29.58,0,1,0,1,2019,11,6,2,0,0
1,1,0,22.88,22.88,0,1,0,2,2019,11,7,1,0,0
2,1,82,21.62,21.62,0,2,0,2,2019,11,5,1,0,0
1,1,0,70.93,70.93,0,1,0,1,2019,11,5,6,0,0
2,2,390202,915.08,914.23,0,2,0,1,2019,11,3,2,0,0
1,1,0,86.23,86.23,0,1,0,1,2019,11,1,4,0,0
1,1,0,90.09,90.09,0,1,0,1,2019,11,6,2,0,0
1,1,0,30.86,30.86,0,1,0,1,2019,11,1,4,0,0
1,1,0,4.1,4.1,0,1,0,2,2019,11,6,3,0,0
1,1,0,34.75,34.75,0,1,0,1,2019,11,1,6,0,0
1,1,0,116.09,116.09,0,1,0,1,2019,11,7,6,0,0
1,1,0,59.2,59.2,0,1,0,1,2019,11,6,5,0,0
1,1,0,23.16,23.16,0,1,0,1,2019,11,1,3,0,0
1,1,0,77.2,77.2,0,1,0,1,2019,11,6,3,0,0
1,1,0,15.44,15.44,0,1,0,1,2019,11,1,4,0,0
1,1,0,715.33,715.33,0,1,0,1,2019,11,7,6,0,0
1,1,0,161.91,161.91,0,1,0,1,2019,11,6,2,0,0
1,1,0,1093.98,1093.98,0,1,0,1,2019,11,7,2,0,0
1,1,0,281.65,281.65,0,1,0,1,2019,11,6,2,0,0
1,1,0,333.32,333.32,0,1,0,1,2019,11,4,1,0,0
1,1,0,495.91,495.91,0,1,0,1,2019,11,7,1,0,0
1,1,0,42.73,42.73,1,0,1,0,2019,11,7,3,0,0
1,1,0,308.29,308.29,0,1,0,1,2019,11,7,6,0,0
1,1,0,242.1,242.1,0,1,0,1,2019,11,5,2,0,0
1,1,0,64.4,64.4,0,1,0,1,2019,11,7,6,0,0
1,1,0,846.82,846.82,0,1,0,1,2019,11,6,4,0,0
1,1,0,231.41,231.41,0,1,0,1,2019,11,3,2,0,0
1,1,0,120.72,120.72,0,1,0,1,2019,11,7,1,0,0
1,1,0,16.99,16.99,0,1,0,1,2019,11,1,2,0,0
1,1,0,128.7,128.7,0,1,0,1,2019,11,6,3,0,0
1,1,0,88.78,88.78,0,1,0,1,2019,11,5,6,0,0
1,1,0,75.35,75.35,0,1,0,1,2019,11,6,1,0,0
1,1,0,51.2,51.2,0,1,0,1,2019,11,5,3,0,0
1,1,0,900.64,900.64,0,1,0,2,2019,11,6,5,0,0
1,1,0,82.63,82.63,0,1,0,1,2019,11,5,2,0,0
1,1,0,198.18,198.18,0,1,0,3,2019,11,7,3,0,0
1,1,0,177.07,177.07,0,1,0,1,2019,11,6,3,0,0
1,1,0,124.53,124.53,0,1,0,1,2019,11,5,5,0,0
1,1,0,292.29,292.29,0,1,0,1,2019,11,6,1,0,0
1,1,0,62.05,62.05,0,1,0,1,2019,11,7,7,0,0
1,1,0,74.36,74.36,0,1,0,1,2019,11,6,5,0,0
1,1,0,32.18,32.18,0,1,0,1,2019,11,6,2,0,0
1,1,0,488.79,488.79,0,1,0,1,2019,11,6,2,0,0
1,1,0,227.01,227.01,0,1,0,1,2019,11,7,6,0,0
1,1,0,37.11,37.11,0,1,0,2,2019,11,5,5,0,0
1,1,0,144.02,144.02,0,1,0,1,2019,11,6,5,0,0
1,1,0,1904.66,1904.66,0,1,0,1,2019,11,6,6,0,0
1,1,0,64.09,64.09,1,0,1,0,2019,11,3,5,0,0
1,1,0,16.71,16.71,0,1,0,1,2019,11,1,5,0,0
1,1,0,53.54,53.54,0,1,0,1,2019,11,6,4,0,0
1,1,0,147.49,147.49,0,1,0,1,2019,11,6,2,0,0
1,1,0,139.77,139.77,0,1,0,1,2019,11,1,2,0,0
1,1,0,231.31,231.31,0,1,0,2,2019,11,2,5,0,0
1,1,0,1351.05,1351.05,0,1,0,1,2019,11,5,5,0,0
1,1,0,851.5,851.5,0,1,0,1,2019,11,4,5,0,0
1,1,0,51.46,51.46,0,1,0,1,2019,11,4,2,0,0
1,1,0,33.35,33.35,0,1,0,1,2019,11,5,7,0,0
1,1,0,720.48,720.48,0,1,0,1,2019,11,7,2,0,0
1,1,0,93.44,93.44,0,1,0,1,2019,11,3,6,0,0
1,1,0,168.41,168.41,0,1,0,1,2019,11,3,2,0,0
1,1,0,285.46,285.46,0,1,0,1,2019,11,5,5,0,0
1,1,0,66.64,66.64,0,1,0,2,2019,11,5,5,0,0
1,1,0,311.94,311.94,0,1,0,2,2019,11,1,6,0,0
1,1,0,614.12,614.12,0,1,0,1,2019,11,1,5,0,0
1,1,0,34.88,34.88,0,1,0,1,2019,11,5,2,0,0
1,1,0,15.42,15.42,0,1,0,1,2019,11,6,6,0,0
1,1,0,134.62,134.62,0,1,0,2,2019,11,2,5,0,0
1,1,0,153.89,153.89,0,1,0,2,2019,11,2,1,0,0
2,1,176,40.93,40.93,1,1,1,1,2019,11,3,2,0,0
1,1,0,259.59,259.59,0,1,0,1,2019,11,3,6,0,0
1,1,0,205.4,205.4,0,1,0,1,2019,11,7,3,0,0
1,1,0,83.4,83.4,0,1,1,3,2019,11,7,6,0,0
1,1,0,41.16,41.16,0,1,0,1,2019,11,3,1,0,0
1,1,0,90.09,90.09,0,1,0,1,2019,11,5,3,0,0
1,1,0,151.87,151.87,0,1,0,1,2019,11,2,3,0,0
1,1,0,14.67,14.67,0,1,0,2,2019,11,7,2,0,0
1,1,0,149.87,149.87,0,1,0,1,2019,11,2,2,0,0
1,1,0,271.45,271.45,1,0,1,0,2019,11,7,2,0,0
1,1,0,240.38,240.38,0,1,0,2,2019,11,5,6,0,0
1,1,0,107.08,107.08,0,1,0,1,2019,11,7,2,0,0
1,1,0,25.74,25.74,0,1,0,1,2019,11,3,2,0,0
1,1,0,38.59,38.59,0,1,0,1,2019,11,1,3,0,0
1,1,0,206.18,206.18,0,1,0,1,2019,11,1,3,0,0
1,1,0,586.74,586.74,0,1,0,1,2019,11,5,5,0,0
1,1,0,161.63,161.63,0,1,0,1,2019,11,5,2,0,0
1,1,0,527.4,527.4,0,1,0,1,2019,11,1,3,0,0
1,1,0,507.07,507.07,0,1,0,1,2019,11,7,4,0,0
1,1,0,157.49,157.49,0,1,0,1,2019,11,6,6,0,0
1,1,0,347.22,347.22,0,1,0,1,2019,11,6,7,0,0
1,1,0,411.83,411.83,0,1,0,2,2019,11,3,5,0,0
1,1,0,308.63,308.63,0,1,0,1,2019,11,6,1,0,0
1,1,0,1646.89,1646.89,1,0,1,0,2019,11,4,5,0,0
1,1,0,11.89,11.89,0,1,0,2,2019,11,4,2,0,0
1,1,0,61.01,61.01,0,1,0,1,2019,11,3,5,0,0
1,1,0,89.84,89.84,0,1,0,1,2019,11,2,2,0,0
1,1,0,316.1,316.1,0,1,0,1,2019,11,3,5,0,0
1,1,0,89.19,89.19,0,1,0,1,2019,11,5,1,0,0
1,1,0,308.86,308.86,0,1,0,1,2019,11,1,3,0,0
1,1,0,269.51,269.51,0,1,0,1,2019,11,7,6,0,0
1,1,0,106.57,106.57,1,0,1,0,2019,11,1,4,0,0
1,1,0,42.99,42.99,0,1,0,1,2019,11,4,1,0,0
1,1,0,204.73,204.73,0,1,0,1,2019,11,6,7,0,0
1,1,0,33.21,33.21,0,1,0,1,2019,11,5,5,0,0
1,1,0,106.8,106.8,0,1,0,1,2019,11,6,2,0,0
1,1,0,159.59,159.59,0,1,1,2,2019,11,5,5,0,0
